City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,concepcion del oro,24.6333,-101.4167,15.33,15,100,2.56,MX,1746064625
286,akureyri,65.6835,-18.0878,4.96,70,75,1.03,IS,1746064626
287,thompson,55.7435,-97.8558,-2.91,93,100,4.12,CA,1746064482
288,cody,44.5263,-109.0565,9.12,62,20,5.14,US,1746064628
289,taulaga,-11.0553,-171.0883,28.83,68,6,2.27,AS,1746064629
290,kapa'a,22.0752,-159.319,27.18,78,20,4.12,US,1746064630
291,qusmuryn,52.4503,64.6311,8.39,48,5,4.16,KZ,1746064631
292,anadyr,64.75,177.4833,-8.72,72,0,4.92,RU,1746064632
293,yokadouma,3.5167,15.05,21.04,88,92,0.46,CM,1746064634
294,high river,50.5834,-113.8687,12.4,45,90,2.09,CA,1746064635
295,oranjemund,-28.55,16.4333,13.44,75,100,5.33,NA,1746064636
296,saipan,15.1355,145.701,31.39,74,40,7.72,MP,1746064637
297,tam ky,15.5667,108.4833,30.49,62,26,1.12,VN,1746064638
298,sitka,57.0531,-135.33,10.94,54,75,7.2,US,1746064639
299,broken hill,-31.95,141.4333,16.89,35,0,6.72,AU,1746064640
300,strelka,58.0728,93.0344,7.3,49,13,4.64,RU,1746064641
301,aykhal,66.0,111.5,0.34,100,100,3.46,RU,1746064642
302,jiamusi,46.8333,130.35,10.23,76,100,2.72,CN,1746064643
303,maintirano,-18.0667,44.0167,25.9,74,75,3.41,MG,1746064644
304,nar'yan-mar,67.6713,53.087,-9.05,89,71,5.24,RU,1746064645
305,jais,26.25,81.5333,30.08,35,80,5.75,IN,1746064647
306,tambopata,-12.7333,-69.1833,22.4,89,1,0.9,PE,1746064649
307,al burayqah,30.4062,19.5739,17.31,66,0,7.24,LY,1746064650
308,brignoles,43.4,6.0667,7.84,83,0,1.1,FR,1746064651
309,phek,25.6667,94.5,20.0,70,95,0.45,IN,1746064652
310,caspe,41.234,-0.0395,13.84,88,8,3.57,ES,1746064653
311,vargem grande do sul,-21.8322,-46.8936,17.12,77,0,1.95,BR,1746064654
312,port elizabeth,-33.918,25.5701,14.16,85,0,7.2,ZA,1746064655
313,carauari,-4.8828,-66.8958,23.13,97,100,0.19,BR,1746064656
314,sundumbili,-29.1337,31.3975,19.12,88,100,4.1,ZA,1746064657
315,saldanha,-33.0117,17.9442,12.03,74,88,4.45,ZA,1746064658
316,sidi akkacha,36.4647,1.3026,20.16,65,100,3.34,DZ,1746064659
317,alice springs,-23.7,133.8833,20.75,30,80,9.26,AU,1746064511
318,anloga,5.7947,0.8973,27.38,82,100,3.91,GH,1746064661
319,naze,28.3667,129.4833,20.51,82,100,3.02,JP,1746064662
320,pitimbu,-7.4706,-34.8086,25.92,73,0,3.11,BR,1746064663
321,lingig,8.0389,126.4125,28.56,71,62,1.94,PH,1746064665
322,paidha,2.4167,30.9855,16.37,92,100,1.46,UG,1746064666
323,uribia,11.7139,-72.266,28.82,62,3,5.37,CO,1746064667
324,cole harbour,44.6724,-63.4751,10.66,55,6,7.72,CA,1746064668
325,emerald,-23.5333,148.1667,24.63,42,47,7.09,AU,1746064669
326,kidal,18.4411,1.4078,30.71,13,99,7.4,ML,1746064670
327,luderitz,-26.6481,15.1594,14.36,66,99,10.2,NA,1746064672
328,ione,38.3527,-120.9327,26.75,50,0,0.0,US,1746064673
329,ola,59.5833,151.2833,-0.68,87,98,1.54,RU,1746064674
330,kharagpur,22.3333,87.3333,29.0,58,0,1.78,IN,1746064675
331,baryshevo,54.9564,83.1822,8.24,47,4,2.11,RU,1746064676
332,ghanzi,-21.5667,21.7833,19.13,54,34,2.7,BW,1746064677
333,westport,41.1415,-73.3579,16.12,51,44,2.31,US,1746064678
334,mana,5.6592,-53.7767,25.75,89,39,3.24,GF,1746064679
335,bubaque,11.2833,-15.8333,23.45,79,70,4.88,GW,1746064681
336,la'ie,21.6477,-157.9253,28.36,73,8,2.24,US,1746064682
337,jonquiere,48.4165,-71.2488,-0.33,74,23,3.6,CA,1746064683
338,ambon,-3.6954,128.1814,31.24,100,28,3.31,ID,1746064684
339,ciudad insurgentes,25.2625,-111.7753,18.83,49,18,5.0,MX,1746064685
340,vilyuysk,63.7553,121.6247,2.13,93,100,3.38,RU,1746064686
341,dudinka,69.4058,86.1778,-9.86,93,94,5.18,RU,1746064687
342,tromso,69.6496,18.957,3.01,81,100,3.6,NO,1746064689
343,punta del este,-34.9667,-54.95,14.93,67,0,2.24,UY,1746064691
344,key west,24.5557,-81.7826,26.67,67,75,5.66,US,1746064644
345,nabisar,25.0685,69.6419,29.64,46,1,8.73,PK,1746064693
346,kapuskasing,49.4169,-82.4331,5.0,60,75,3.6,CA,1746064694
347,constantia,44.1833,28.65,7.61,58,0,1.23,RO,1746064445
348,menongue,-14.6585,17.691,16.24,89,85,0.44,AO,1746064696
